number,draws,occurrences,draws_hit,full_rate,baseline,z_score,p_value_normal,bh_q_value,rate_30,rate_90,rate_365,rate_1095,current_gap_draws
73,7545,2056,1818,0.24095427435387673,0.23765728565289646,0.6728161188986059,0.5010642817312733,0.9854326545942192,0.4,0.23333333333333334,0.26575342465753427,0.245662100456621,0
74,7545,2004,1767,0.2341948310139165,0.23765728565289646,-0.7065827345323696,0.4798258214992514,0.9854326545942192,0.16666666666666666,0.18888888888888888,0.23835616438356164,0.22922374429223744,2
75,7545,2057,1835,0.24320742213386348,0.23765728565289646,1.132615736708933,0.2573756571925817,0.9532431747873397,0.06666666666666667,0.2222222222222222,0.2328767123287671,0.25296803652968036,3
76,7545,2087,1849,0.24506295559973493,0.23765728565289646,1.5112742454939085,0.13071859287195886,0.9309323458464773,0.3333333333333333,0.24444444444444444,0.2328767123287671,0.2401826484018265,0
77,7545,2006,1765,0.23392975480450628,0.23765728565289646,-0.7606768072159392,0.44685013093344134,0.9854326545942192,0.4,0.2777777777777778,0.2602739726027397,0.2420091324200913,2
78,7545,2069,1803,0.2389662027833002,0.23765728565289646,0.2671105737718484,0.7893840265953121,0.9892136679403001,0.16666666666666666,0.16666666666666666,0.2136986301369863,0.23835616438356164,6
79,7545,2102,1827,0.24214711729622265,0.23765728565289646,0.9162394459746604,0.3595413204584168,0.9744730803222317,0.13333333333333333,0.2,0.22465753424657534,0.2547945205479452,0
80,7545,1986,1755,0.23260437375745527,0.23765728565289646,-1.0311471706337756,0.3024718102447801,0.9551042353192827,0.26666666666666666,0.2777777777777778,0.2465753424657534,0.23470319634703196,5
81,7545,2014,1788,0.23697813121272365,0.23765728565289646,-0.13859497135490914,0.8897702172367092,0.9892136679403001,0.26666666666666666,0.25555555555555554,0.2356164383561644,0.25388127853881276,8
82,7545,1999,1756,0.23273691186216036,0.23765728565289646,-1.0041001342919937,0.3153303507153475,0.9555465173192348,0.16666666666666666,0.2,0.2136986301369863,0.2374429223744292,9
83,7545,2014,1776,0.23538767395626242,0.23765728565289646,-0.4631594074563151,0.6432501100481881,0.9854326545942192,0.23333333333333334,0.3333333333333333,0.29863013698630136,0.2401826484018265,8
84,7545,2010,1799,0.2384360503644798,0.23765728565289646,0.15892242840471493,0.8737299899495645,0.9892136679403001,0.26666666666666666,0.2777777777777778,0.24383561643835616,0.228310502283105,1
85,7545,2027,1792,0.23750828363154408,0.23765728565289646,-0.030406825987770024,0.9757426010233048,0.9910122008236755,0.16666666666666666,0.2111111111111111,0.2,0.2091324200913242,0
86,7545,2063,1817,0.24082173624917164,0.23765728565289646,0.645769082556824,0.5184289135914306,0.9854326545942192,0.2,0.2777777777777778,0.21643835616438356,0.23926940639269406,0
87,7545,2034,1800,0.23856858846918488,0.23765728565289646,0.18596946474649687,0.8524687071863157,0.9892136679403001,0.23333333333333334,0.24444444444444444,0.2493150684931507,0.2219178082191781,2
88,7545,2077,1844,0.2444002650762094,0.23765728565289646,1.3760390637849875,0.16880953950786068,0.9309323458464773,0.3333333333333333,0.24444444444444444,0.25753424657534246,0.2356164383561644,1
89,7545,1999,1760,0.2332670642809808,0.23765728565289646,-0.8959119889248546,0.370299770522448,0.9744730803222317,0.13333333333333333,0.23333333333333334,0.2328767123287671,0.2420091324200913,18
90,7545,2024,1791,0.23737574552683896,0.23765728565289646,-0.05745386232955763,0.9541836578884292,0.9892136679403001,0.2,0.2777777777777778,0.2465753424657534,0.25296803652968036,1
91,7545,2015,1769,0.2344599072233267,0.23765728565289646,-0.6524886618488001,0.5140859847898305,0.9854326545942192,0.16666666666666666,0.23333333333333334,0.2876712328767123,0.2557077625570776,1
92,7545,2100,1835,0.24320742213386348,0.23765728565289646,1.132615736708933,0.2573756571925817,0.9532431747873397,0.13333333333333333,0.24444444444444444,0.27123287671232876,0.26210045662100456,12
93,7545,2060,1836,0.24333996023856858,0.23765728565289646,1.159662773050715,0.24618613247469207,0.9532431747873397,0.3,0.23333333333333334,0.2328767123287671,0.2264840182648402,0
94,7545,2075,1823,0.24161696487740225,0.23765728565289646,0.808051300607527,0.4190610506118419,0.9854326545942192,0.3,0.25555555555555554,0.26575342465753427,0.25205479452054796,1
95,7545,2081,1848,0.24493041749502983,0.23765728565289646,1.4842272091521265,0.13774865369154332,0.9309323458464773,0.3333333333333333,0.32222222222222224,0.27945205479452057,0.2502283105022831,2
96,7545,2013,1801,0.23870112657389,0.23765728565289646,0.2130165010882845,0.8313140920427915,0.9892136679403001,0.3,0.23333333333333334,0.2136986301369863,0.2374429223744292,0
97,7545,2048,1806,0.2393638170974155,0.23765728565289646,0.34825168279719987,0.7276511768069174,0.9854326545942192,0.23333333333333334,0.2,0.2465753424657534,0.2511415525114155,1
98,7545,1993,1755,0.23260437375745527,0.23765728565289646,-1.0311471706337756,0.3024718102447801,0.9551042353192827,0.1,0.15555555555555556,0.19452054794520549,0.22922374429223744,5
99,7545,1986,1775,0.23525513585155733,0.23765728565289646,-0.4902064437980971,0.6239878214851917,0.9854326545942192,0.3333333333333333,0.24444444444444444,0.22465753424657534,0.245662100456621,0
